Ano	alt	dap	tm	pm	pa	etom	etoa	h2od
1997	0.0000	0.0000	25.5	4.2	1530.8	4.3	-1558.3	-27.5
1998	0.1254	0.1280	25	4.2	1523.9	4.3	-1563.2	-39.3
1999	0.2508	0.2559	24.5	3	1101.5	4.7	-1712	-610.5
2000	0.3762	0.3839	24.5	4.5	1592.3	4.5	-1656.6	-64.3
2001	0.5017	0.5119	24.6	3.9	1291.1	4.4	-1463.4	-172.3
2002	0.6271	0.6399	25.6	2.8	1030.9	4.6	-1691.7	-660.8
2003	0.7525	0.7678	24.7	3.9	1418.2	4.4	-1589	-170.8
2004	0.8779	0.8958	24.5	3.1	1140	4.3	-1577.2	-437.2
2005	1.0033	1.0238	24.9	2.9	1066.1	4.3	-1572.4	-506.3
2006	1.1287	1.1517	24.8	3.9	1430.1	4.1	-1502.3	-72.2
2007	1.2541	1.2797	25.2	3.6	1309.3	4.5	-1625.4	-316.1
2008	1.3796	1.4077	24.4	4.7	1727.6	4.3	-1561.6	166
2009	1.5050	1.5357	24.5	4.7	1686.2	4.1	-1514.3	171.9
2010	1.6304	1.6636	24.6	3.4	1245.3	4.2	-1540.7	-295.4
2011	1.7558	1.7916	24.7	4	1445.9	4.5	-1636.7	-190.8
2012	1.8812	1.9196	25.4	2.5	929.8	4.6	-1672.2	-742.4
2013	2.0066	2.0475	24.8	4	1462.3	4.2	-1518.2	-55.9
2014	2.1320	2.1755	25.4	3.6	1324.9	4.1	-1486.2	-161.3
2015	2.2575	2.3035	25.5	4.3	1579.3	3.9	-1426.7	152.6
2016	2.3829	2.4315	24.7	3.7	1355.2	3.7	-1372.4	-17.2
2017	2.5083	2.5594	25.2	4.5	1628.2	3.8	-1397.5	230.7
2018	2.6337	2.6874	25.3	3.1	1143.9	3.6	-1296	-152.1
